dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,accuracy,class,class_size,precision,recall
annealing,bayes,10fold,719,0.00904,79,0.01053,0.94937,1,1,,0.0
annealing,bayes,10fold,719,0.00904,79,0.01053,0.94937,3,66,0.984375,0.9545454545454546
annealing,bayes,10fold,719,0.00904,79,0.01053,0.94937,2,2,1.0,1.0
annealing,bayes,10fold,719,0.00904,79,0.01053,0.94937,U,5,0.625,1.0
annealing,bayes,10fold,719,0.00904,79,0.01053,0.94937,4,0,,
annealing,bayes,10fold,719,0.00904,79,0.01053,0.94937,5,5,1.0,1.0
annealing,bayes,10fold,719,0.00895,79,0.01021,0.94937,1,1,1.0,1.0
annealing,bayes,10fold,719,0.00895,79,0.01021,0.94937,3,53,0.9622641509433962,0.9622641509433962
annealing,bayes,10fold,719,0.00895,79,0.01021,0.94937,2,14,0.9285714285714286,0.9285714285714286
annealing,bayes,10fold,719,0.00895,79,0.01021,0.94937,U,3,0.6666666666666666,0.6666666666666666
annealing,bayes,10fold,719,0.00895,79,0.01021,0.94937,4,0,,
annealing,bayes,10fold,719,0.00895,79,0.01021,0.94937,5,8,1.0,1.0
annealing,bayes,10fold,719,0.00888,79,0.01046,0.98734,1,1,1.0,1.0
annealing,bayes,10fold,719,0.00888,79,0.01046,0.98734,3,63,0.984375,1.0
annealing,bayes,10fold,719,0.00888,79,0.01046,0.98734,2,6,1.0,0.8333333333333334
annealing,bayes,10fold,719,0.00888,79,0.01046,0.98734,U,2,1.0,1.0
annealing,bayes,10fold,719,0.00888,79,0.01046,0.98734,4,0,,
annealing,bayes,10fold,719,0.00888,79,0.01046,0.98734,5,7,1.0,1.0
annealing,bayes,10fold,719,0.00892,79,0.0103,0.97468,1,2,1.0,1.0
annealing,bayes,10fold,719,0.00892,79,0.0103,0.97468,3,58,0.9827586206896551,0.9827586206896551
annealing,bayes,10fold,719,0.00892,79,0.0103,0.97468,2,11,1.0,0.9090909090909091
annealing,bayes,10fold,719,0.00892,79,0.0103,0.97468,U,2,0.6666666666666666,1.0
annealing,bayes,10fold,719,0.00892,79,0.0103,0.97468,4,0,,
annealing,bayes,10fold,719,0.00892,79,0.0103,0.97468,5,6,1.0,1.0
annealing,bayes,10fold,719,0.00888,79,0.01053,0.96203,1,2,1.0,1.0
annealing,bayes,10fold,719,0.00888,79,0.01053,0.96203,3,59,0.9827586206896551,0.9661016949152542
annealing,bayes,10fold,719,0.00888,79,0.01053,0.96203,2,6,1.0,0.8333333333333334
annealing,bayes,10fold,719,0.00888,79,0.01053,0.96203,U,7,0.7777777777777778,1.0
annealing,bayes,10fold,719,0.00888,79,0.01053,0.96203,4,0,,
annealing,bayes,10fold,719,0.00888,79,0.01053,0.96203,5,5,1.0,1.0
annealing,bayes,10fold,719,0.00893,79,0.01088,0.94937,1,1,1.0,1.0
annealing,bayes,10fold,719,0.00893,79,0.01088,0.94937,3,56,0.9814814814814815,0.9464285714285714
annealing,bayes,10fold,719,0.00893,79,0.01088,0.94937,2,15,1.0,1.0
annealing,bayes,10fold,719,0.00893,79,0.01088,0.94937,U,3,0.4,0.6666666666666666
annealing,bayes,10fold,719,0.00893,79,0.01088,0.94937,4,0,,
annealing,bayes,10fold,719,0.00893,79,0.01088,0.94937,5,4,1.0,1.0
annealing,bayes,10fold,719,0.00915,79,0.01121,0.97468,1,0,0.0,
annealing,bayes,10fold,719,0.00915,79,0.01121,0.97468,3,61,1.0,0.9672131147540983
annealing,bayes,10fold,719,0.00915,79,0.01121,0.97468,2,6,1.0,1.0
annealing,bayes,10fold,719,0.00915,79,0.01121,0.97468,U,5,0.8333333333333334,1.0
annealing,bayes,10fold,719,0.00915,79,0.01121,0.97468,4,0,,
annealing,bayes,10fold,719,0.00915,79,0.01121,0.97468,5,7,1.0,1.0
annealing,bayes,10fold,719,0.00929,79,0.01114,0.96203,1,0,,
annealing,bayes,10fold,719,0.00929,79,0.01114,0.96203,3,64,0.9841269841269841,0.96875
annealing,bayes,10fold,719,0.00929,79,0.01114,0.96203,2,7,1.0,0.8571428571428571
annealing,bayes,10fold,719,0.00929,79,0.01114,0.96203,U,4,0.6666666666666666,1.0
annealing,bayes,10fold,719,0.00929,79,0.01114,0.96203,4,0,,
annealing,bayes,10fold,719,0.00929,79,0.01114,0.96203,5,4,1.0,1.0
annealing,bayes,10fold,719,0.00949,79,0.01102,0.94937,1,0,,
annealing,bayes,10fold,719,0.00949,79,0.01102,0.94937,3,57,0.9649122807017544,0.9649122807017544
annealing,bayes,10fold,719,0.00949,79,0.01102,0.94937,2,12,1.0,0.8333333333333334
annealing,bayes,10fold,719,0.00949,79,0.01102,0.94937,U,1,0.3333333333333333,1.0
annealing,bayes,10fold,719,0.00949,79,0.01102,0.94937,4,0,,
annealing,bayes,10fold,719,0.00949,79,0.01102,0.94937,5,9,1.0,1.0
annealing,bayes,10fold,719,0.00932,79,0.01077,0.94937,1,0,,
annealing,bayes,10fold,719,0.00932,79,0.01077,0.94937,3,64,0.9545454545454546,0.984375
annealing,bayes,10fold,719,0.00932,79,0.01077,0.94937,2,8,1.0,0.625
annealing,bayes,10fold,719,0.00932,79,0.01077,0.94937,U,2,0.6666666666666666,1.0
annealing,bayes,10fold,719,0.00932,79,0.01077,0.94937,4,0,,
annealing,bayes,10fold,719,0.00932,79,0.01077,0.94937,5,5,1.0,1.0
