dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,bayes,ratiorange,39,0.00212,759,0.19274,16384,0.75626,1,7,0.0,0.0
annealing,bayes,ratiorange,39,0.00212,759,0.19274,16384,0.75626,3,576,0.8604240282685512,0.8454861111111112
annealing,bayes,ratiorange,39,0.00212,759,0.19274,16384,0.75626,2,88,,0.0
annealing,bayes,ratiorange,39,0.00212,759,0.19274,16384,0.75626,U,30,0.2636363636363636,0.9666666666666667
annealing,bayes,ratiorange,39,0.00212,759,0.19274,16384,0.75626,4,0,,
annealing,bayes,ratiorange,39,0.00212,759,0.19274,16384,0.75626,5,58,0.9666666666666667,1.0
annealing,bayes,ratiorange,47,0.00237,751,0.1912,16384,0.76431,1,7,0.0,0.0
annealing,bayes,ratiorange,47,0.00237,751,0.1912,16384,0.76431,3,569,0.8621908127208481,0.8576449912126538
annealing,bayes,ratiorange,47,0.00237,751,0.1912,16384,0.76431,2,88,,0.0
annealing,bayes,ratiorange,47,0.00237,751,0.1912,16384,0.76431,U,30,0.2815533980582524,0.9666666666666667
annealing,bayes,ratiorange,47,0.00237,751,0.1912,16384,0.76431,4,0,,
annealing,bayes,ratiorange,47,0.00237,751,0.1912,16384,0.76431,5,57,0.9827586206896551,1.0
annealing,bayes,ratiorange,55,0.00255,743,0.18669,16384,0.75774,1,7,0.0,0.0
annealing,bayes,ratiorange,55,0.00255,743,0.18669,16384,0.75774,3,561,0.8594594594594595,0.8502673796791443
annealing,bayes,ratiorange,55,0.00255,743,0.18669,16384,0.75774,2,88,,0.0
annealing,bayes,ratiorange,55,0.00255,743,0.18669,16384,0.75774,U,30,0.26605504587155965,0.9666666666666667
annealing,bayes,ratiorange,55,0.00255,743,0.18669,16384,0.75774,4,0,,
annealing,bayes,ratiorange,55,0.00255,743,0.18669,16384,0.75774,5,57,0.9827586206896551,1.0
annealing,bayes,ratiorange,63,0.00271,735,0.18622,16384,0.75102,1,7,0.0,0.0
annealing,bayes,ratiorange,63,0.00271,735,0.18622,16384,0.75102,3,553,0.8566176470588235,0.8426763110307414
annealing,bayes,ratiorange,63,0.00271,735,0.18622,16384,0.75102,2,88,,0.0
annealing,bayes,ratiorange,63,0.00271,735,0.18622,16384,0.75102,U,30,0.23577235772357724,0.9666666666666667
annealing,bayes,ratiorange,63,0.00271,735,0.18622,16384,0.75102,4,0,,
annealing,bayes,ratiorange,63,0.00271,735,0.18622,16384,0.75102,5,57,1.0,1.0
