dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,accuracy,class,class_size,precision,recall
annealing,knn,10fold,719,0.01886,79,0.05798,0.97468,1,1,,0.0
annealing,knn,10fold,719,0.01886,79,0.05798,0.97468,3,66,0.9705882352941176,1.0
annealing,knn,10fold,719,0.01886,79,0.05798,0.97468,2,2,1.0,1.0
annealing,knn,10fold,719,0.01886,79,0.05798,0.97468,U,5,1.0,0.8
annealing,knn,10fold,719,0.01886,79,0.05798,0.97468,4,0,,
annealing,knn,10fold,719,0.01886,79,0.05798,0.97468,5,5,1.0,1.0
annealing,knn,10fold,719,0.01806,79,0.05803,0.89873,1,1,1.0,1.0
annealing,knn,10fold,719,0.01806,79,0.05803,0.89873,3,53,0.8947368421052632,0.9622641509433962
annealing,knn,10fold,719,0.01806,79,0.05803,0.89873,2,14,0.9,0.6428571428571429
annealing,knn,10fold,719,0.01806,79,0.05803,0.89873,U,3,0.6666666666666666,0.6666666666666666
annealing,knn,10fold,719,0.01806,79,0.05803,0.89873,4,0,,
annealing,knn,10fold,719,0.01806,79,0.05803,0.89873,5,8,1.0,1.0
annealing,knn,10fold,719,0.01814,79,0.05732,1.0,1,1,1.0,1.0
annealing,knn,10fold,719,0.01814,79,0.05732,1.0,3,63,1.0,1.0
annealing,knn,10fold,719,0.01814,79,0.05732,1.0,2,6,1.0,1.0
annealing,knn,10fold,719,0.01814,79,0.05732,1.0,U,2,1.0,1.0
annealing,knn,10fold,719,0.01814,79,0.05732,1.0,4,0,,
annealing,knn,10fold,719,0.01814,79,0.05732,1.0,5,7,1.0,1.0
annealing,knn,10fold,719,0.01819,79,0.05717,0.98734,1,2,1.0,1.0
annealing,knn,10fold,719,0.01819,79,0.05717,0.98734,3,58,0.9830508474576272,1.0
annealing,knn,10fold,719,0.01819,79,0.05717,0.98734,2,11,1.0,0.9090909090909091
annealing,knn,10fold,719,0.01819,79,0.05717,0.98734,U,2,1.0,1.0
annealing,knn,10fold,719,0.01819,79,0.05717,0.98734,4,0,,
annealing,knn,10fold,719,0.01819,79,0.05717,0.98734,5,6,1.0,1.0
annealing,knn,10fold,719,0.01829,79,0.05739,0.96203,1,2,1.0,0.5
annealing,knn,10fold,719,0.01829,79,0.05739,0.96203,3,59,0.9830508474576272,0.9830508474576272
annealing,knn,10fold,719,0.01829,79,0.05739,0.96203,2,6,0.8333333333333334,0.8333333333333334
annealing,knn,10fold,719,0.01829,79,0.05739,0.96203,U,7,0.875,1.0
annealing,knn,10fold,719,0.01829,79,0.05739,0.96203,4,0,,
annealing,knn,10fold,719,0.01829,79,0.05739,0.96203,5,5,1.0,1.0
annealing,knn,10fold,719,0.01822,79,0.05739,0.98734,1,1,1.0,1.0
annealing,knn,10fold,719,0.01822,79,0.05739,0.98734,3,56,1.0,0.9821428571428571
annealing,knn,10fold,719,0.01822,79,0.05739,0.98734,2,15,0.9375,1.0
annealing,knn,10fold,719,0.01822,79,0.05739,0.98734,U,3,1.0,1.0
annealing,knn,10fold,719,0.01822,79,0.05739,0.98734,4,0,,
annealing,knn,10fold,719,0.01822,79,0.05739,0.98734,5,4,1.0,1.0
annealing,knn,10fold,719,0.01806,79,0.05721,1.0,1,0,,
annealing,knn,10fold,719,0.01806,79,0.05721,1.0,3,61,1.0,1.0
annealing,knn,10fold,719,0.01806,79,0.05721,1.0,2,6,1.0,1.0
annealing,knn,10fold,719,0.01806,79,0.05721,1.0,U,5,1.0,1.0
annealing,knn,10fold,719,0.01806,79,0.05721,1.0,4,0,,
annealing,knn,10fold,719,0.01806,79,0.05721,1.0,5,7,1.0,1.0
annealing,knn,10fold,719,0.01803,79,0.0575,0.97468,1,0,,
annealing,knn,10fold,719,0.01803,79,0.0575,0.97468,3,64,0.9696969696969697,1.0
annealing,knn,10fold,719,0.01803,79,0.0575,0.97468,2,7,1.0,0.7142857142857143
annealing,knn,10fold,719,0.01803,79,0.0575,0.97468,U,4,1.0,1.0
annealing,knn,10fold,719,0.01803,79,0.0575,0.97468,4,0,,
annealing,knn,10fold,719,0.01803,79,0.0575,0.97468,5,4,1.0,1.0
annealing,knn,10fold,719,0.01823,79,0.0573,0.98734,1,0,,
annealing,knn,10fold,719,0.01823,79,0.0573,0.98734,3,57,0.9827586206896551,1.0
annealing,knn,10fold,719,0.01823,79,0.0573,0.98734,2,12,1.0,0.9166666666666666
annealing,knn,10fold,719,0.01823,79,0.0573,0.98734,U,1,1.0,1.0
annealing,knn,10fold,719,0.01823,79,0.0573,0.98734,4,0,,
annealing,knn,10fold,719,0.01823,79,0.0573,0.98734,5,9,1.0,1.0
annealing,knn,10fold,719,0.01806,79,0.05736,0.97468,1,0,,
annealing,knn,10fold,719,0.01806,79,0.05736,0.97468,3,64,0.984375,0.984375
annealing,knn,10fold,719,0.01806,79,0.05736,0.97468,2,8,0.8888888888888888,1.0
annealing,knn,10fold,719,0.01806,79,0.05736,0.97468,U,2,1.0,0.5
annealing,knn,10fold,719,0.01806,79,0.05736,0.97468,4,0,,
annealing,knn,10fold,719,0.01806,79,0.05736,0.97468,5,5,1.0,1.0
