dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,knn,ratiorange,39,0.00326,759,0.528,69632,0.76548,1,7,,0.0
annealing,knn,ratiorange,39,0.00326,759,0.528,69632,0.76548,3,576,0.7667560321715817,0.9930555555555556
annealing,knn,ratiorange,39,0.00326,759,0.528,69632,0.76548,2,88,,0.0
annealing,knn,ratiorange,39,0.00326,759,0.528,69632,0.76548,U,30,0.6923076923076923,0.3
annealing,knn,ratiorange,39,0.00326,759,0.528,69632,0.76548,4,0,,
annealing,knn,ratiorange,39,0.00326,759,0.528,69632,0.76548,5,58,,0.0
annealing,knn,ratiorange,47,0.0036,751,0.50774,81920,0.82024,1,7,,0.0
annealing,knn,ratiorange,47,0.0036,751,0.50774,81920,0.82024,3,569,0.8108882521489972,0.9947275922671354
annealing,knn,ratiorange,47,0.0036,751,0.50774,81920,0.82024,2,88,,0.0
annealing,knn,ratiorange,47,0.0036,751,0.50774,81920,0.82024,U,30,0.7692307692307693,0.3333333333333333
annealing,knn,ratiorange,47,0.0036,751,0.50774,81920,0.82024,4,0,,
annealing,knn,ratiorange,47,0.0036,751,0.50774,81920,0.82024,5,57,1.0,0.7017543859649122
annealing,knn,ratiorange,55,0.00418,743,0.50577,98304,0.821,1,7,,0.0
annealing,knn,ratiorange,55,0.00418,743,0.50577,98304,0.821,3,561,0.811046511627907,0.9946524064171123
annealing,knn,ratiorange,55,0.00418,743,0.50577,98304,0.821,2,88,,0.0
annealing,knn,ratiorange,55,0.00418,743,0.50577,98304,0.821,U,30,0.8,0.4
annealing,knn,ratiorange,55,0.00418,743,0.50577,98304,0.821,4,0,,
annealing,knn,ratiorange,55,0.00418,743,0.50577,98304,0.821,5,57,1.0,0.7017543859649122
annealing,knn,ratiorange,63,0.00463,735,0.49807,110592,0.82041,1,7,,0.0
annealing,knn,ratiorange,63,0.00463,735,0.49807,110592,0.82041,3,553,0.8100147275405007,0.9945750452079566
annealing,knn,ratiorange,63,0.00463,735,0.49807,110592,0.82041,2,88,,0.0
annealing,knn,ratiorange,63,0.00463,735,0.49807,110592,0.82041,U,30,0.8125,0.43333333333333335
annealing,knn,ratiorange,63,0.00463,735,0.49807,110592,0.82041,4,0,,
annealing,knn,ratiorange,63,0.00463,735,0.49807,110592,0.82041,5,57,1.0,0.7017543859649122
annealing,knn,ratiorange,71,0.00527,727,0.49892,122880,0.82669,1,7,,0.0
annealing,knn,ratiorange,71,0.00527,727,0.49892,122880,0.82669,3,549,0.8170914542728636,0.9927140255009107
annealing,knn,ratiorange,71,0.00527,727,0.49892,122880,0.82669,2,87,,0.0
annealing,knn,ratiorange,71,0.00527,727,0.49892,122880,0.82669,U,29,0.7777777777777778,0.4827586206896552
annealing,knn,ratiorange,71,0.00527,727,0.49892,122880,0.82669,4,0,,
annealing,knn,ratiorange,71,0.00527,727,0.49892,122880,0.82669,5,55,1.0,0.7636363636363637
annealing,knn,ratiorange,79,0.00567,719,0.49447,139264,0.82615,1,7,,0.0
annealing,knn,ratiorange,79,0.00567,719,0.49447,139264,0.82615,3,542,0.8125937031484258,1.0
annealing,knn,ratiorange,79,0.00567,719,0.49447,139264,0.82615,2,86,,0.0
annealing,knn,ratiorange,79,0.00567,719,0.49447,139264,0.82615,U,29,1.0,0.41379310344827586
annealing,knn,ratiorange,79,0.00567,719,0.49447,139264,0.82615,4,0,,
annealing,knn,ratiorange,79,0.00567,719,0.49447,139264,0.82615,5,55,1.0,0.7272727272727273
annealing,knn,ratiorange,87,0.00626,711,0.5071,151552,0.827,1,7,,0.0
annealing,knn,ratiorange,87,0.00626,711,0.5071,151552,0.827,3,536,0.816793893129771,0.9981343283582089
annealing,knn,ratiorange,87,0.00626,711,0.5071,151552,0.827,2,84,0.5,0.03571428571428571
annealing,knn,ratiorange,87,0.00626,711,0.5071,151552,0.827,U,29,1.0,0.3103448275862069
