dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,accuracy,class,class_size,precision,recall
annealing,svm,10fold,719,0.02558,79,0.00976,0.98734,1,1,,0.0
annealing,svm,10fold,719,0.02558,79,0.00976,0.98734,3,66,0.9850746268656716,1.0
annealing,svm,10fold,719,0.02558,79,0.00976,0.98734,2,2,1.0,1.0
annealing,svm,10fold,719,0.02558,79,0.00976,0.98734,U,5,1.0,1.0
annealing,svm,10fold,719,0.02558,79,0.00976,0.98734,4,0,,
annealing,svm,10fold,719,0.02558,79,0.00976,0.98734,5,5,1.0,1.0
annealing,svm,10fold,719,0.02641,79,0.00967,0.98734,1,1,1.0,1.0
annealing,svm,10fold,719,0.02641,79,0.00967,0.98734,3,53,0.9814814814814815,1.0
annealing,svm,10fold,719,0.02641,79,0.00967,0.98734,2,14,1.0,1.0
annealing,svm,10fold,719,0.02641,79,0.00967,0.98734,U,3,1.0,0.6666666666666666
annealing,svm,10fold,719,0.02641,79,0.00967,0.98734,4,0,,
annealing,svm,10fold,719,0.02641,79,0.00967,0.98734,5,8,1.0,1.0
annealing,svm,10fold,719,0.02615,79,0.00969,1.0,1,1,1.0,1.0
annealing,svm,10fold,719,0.02615,79,0.00969,1.0,3,63,1.0,1.0
annealing,svm,10fold,719,0.02615,79,0.00969,1.0,2,6,1.0,1.0
annealing,svm,10fold,719,0.02615,79,0.00969,1.0,U,2,1.0,1.0
annealing,svm,10fold,719,0.02615,79,0.00969,1.0,4,0,,
annealing,svm,10fold,719,0.02615,79,0.00969,1.0,5,7,1.0,1.0
annealing,svm,10fold,719,0.02643,79,0.01036,1.0,1,2,1.0,1.0
annealing,svm,10fold,719,0.02643,79,0.01036,1.0,3,58,1.0,1.0
annealing,svm,10fold,719,0.02643,79,0.01036,1.0,2,11,1.0,1.0
annealing,svm,10fold,719,0.02643,79,0.01036,1.0,U,2,1.0,1.0
annealing,svm,10fold,719,0.02643,79,0.01036,1.0,4,0,,
annealing,svm,10fold,719,0.02643,79,0.01036,1.0,5,6,1.0,1.0
annealing,svm,10fold,719,0.02655,79,0.01006,1.0,1,2,1.0,1.0
annealing,svm,10fold,719,0.02655,79,0.01006,1.0,3,59,1.0,1.0
annealing,svm,10fold,719,0.02655,79,0.01006,1.0,2,6,1.0,1.0
annealing,svm,10fold,719,0.02655,79,0.01006,1.0,U,7,1.0,1.0
annealing,svm,10fold,719,0.02655,79,0.01006,1.0,4,0,,
annealing,svm,10fold,719,0.02655,79,0.01006,1.0,5,5,1.0,1.0
annealing,svm,10fold,719,0.02652,79,0.01003,0.98734,1,1,,0.0
annealing,svm,10fold,719,0.02652,79,0.01003,0.98734,3,56,0.9824561403508771,1.0
annealing,svm,10fold,719,0.02652,79,0.01003,0.98734,2,15,1.0,1.0
annealing,svm,10fold,719,0.02652,79,0.01003,0.98734,U,3,1.0,1.0
annealing,svm,10fold,719,0.02652,79,0.01003,0.98734,4,0,,
annealing,svm,10fold,719,0.02652,79,0.01003,0.98734,5,4,1.0,1.0
annealing,svm,10fold,719,0.02677,79,0.00985,1.0,1,0,,
annealing,svm,10fold,719,0.02677,79,0.00985,1.0,3,61,1.0,1.0
annealing,svm,10fold,719,0.02677,79,0.00985,1.0,2,6,1.0,1.0
annealing,svm,10fold,719,0.02677,79,0.00985,1.0,U,5,1.0,1.0
annealing,svm,10fold,719,0.02677,79,0.00985,1.0,4,0,,
annealing,svm,10fold,719,0.02677,79,0.00985,1.0,5,7,1.0,1.0
annealing,svm,10fold,719,0.02656,79,0.0098,1.0,1,0,,
annealing,svm,10fold,719,0.02656,79,0.0098,1.0,3,64,1.0,1.0
annealing,svm,10fold,719,0.02656,79,0.0098,1.0,2,7,1.0,1.0
annealing,svm,10fold,719,0.02656,79,0.0098,1.0,U,4,1.0,1.0
annealing,svm,10fold,719,0.02656,79,0.0098,1.0,4,0,,
annealing,svm,10fold,719,0.02656,79,0.0098,1.0,5,4,1.0,1.0
annealing,svm,10fold,719,0.02614,79,0.00976,1.0,1,0,,
annealing,svm,10fold,719,0.02614,79,0.00976,1.0,3,57,1.0,1.0
annealing,svm,10fold,719,0.02614,79,0.00976,1.0,2,12,1.0,1.0
annealing,svm,10fold,719,0.02614,79,0.00976,1.0,U,1,1.0,1.0
annealing,svm,10fold,719,0.02614,79,0.00976,1.0,4,0,,
annealing,svm,10fold,719,0.02614,79,0.00976,1.0,5,9,1.0,1.0
annealing,svm,10fold,719,0.02564,79,0.00972,1.0,1,0,,
annealing,svm,10fold,719,0.02564,79,0.00972,1.0,3,64,1.0,1.0
annealing,svm,10fold,719,0.02564,79,0.00972,1.0,2,8,1.0,1.0
annealing,svm,10fold,719,0.02564,79,0.00972,1.0,U,2,1.0,1.0
annealing,svm,10fold,719,0.02564,79,0.00972,1.0,4,0,,
annealing,svm,10fold,719,0.02564,79,0.00972,1.0,5,5,1.0,1.0
