dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,svm,ratiorange,39,0.0045,759,0.11564,28672,0.83267,1,7,0.0,0.0
annealing,svm,ratiorange,39,0.0045,759,0.11564,28672,0.83267,3,576,0.8355754857997011,0.9704861111111112
annealing,svm,ratiorange,39,0.0045,759,0.11564,28672,0.83267,2,88,,0.0
annealing,svm,ratiorange,39,0.0045,759,0.11564,28672,0.83267,U,30,0.7837837837837838,0.9666666666666667
annealing,svm,ratiorange,39,0.0045,759,0.11564,28672,0.83267,4,0,,
annealing,svm,ratiorange,39,0.0045,759,0.11564,28672,0.83267,5,58,0.9777777777777777,0.7586206896551724
annealing,svm,ratiorange,47,0.00564,751,0.11821,28672,0.83755,1,7,0.0,0.0
annealing,svm,ratiorange,47,0.00564,751,0.11821,28672,0.83755,3,569,0.8301329394387001,0.9876977152899824
annealing,svm,ratiorange,47,0.00564,751,0.11821,28672,0.83755,2,88,,0.0
annealing,svm,ratiorange,47,0.00564,751,0.11821,28672,0.83755,U,30,0.9230769230769231,0.8
annealing,svm,ratiorange,47,0.00564,751,0.11821,28672,0.83755,4,0,,
annealing,svm,ratiorange,47,0.00564,751,0.11821,28672,0.83755,5,57,1.0,0.7543859649122807
annealing,svm,ratiorange,55,0.00624,743,0.11462,32768,0.8358,1,7,0.0,0.0
annealing,svm,ratiorange,55,0.00624,743,0.11462,32768,0.8358,3,561,0.828101644245142,0.9875222816399287
annealing,svm,ratiorange,55,0.00624,743,0.11462,32768,0.8358,2,88,,0.0
annealing,svm,ratiorange,55,0.00624,743,0.11462,32768,0.8358,U,30,0.9230769230769231,0.8
annealing,svm,ratiorange,55,0.00624,743,0.11462,32768,0.8358,4,0,,
annealing,svm,ratiorange,55,0.00624,743,0.11462,32768,0.8358,5,57,1.0,0.7543859649122807
annealing,svm,ratiorange,63,0.0063,735,0.11071,32768,0.83401,1,7,0.0,0.0
annealing,svm,ratiorange,63,0.0063,735,0.11071,32768,0.83401,3,553,0.8250377073906485,0.9891500904159132
annealing,svm,ratiorange,63,0.0063,735,0.11071,32768,0.83401,2,88,,0.0
annealing,svm,ratiorange,63,0.0063,735,0.11071,32768,0.83401,U,30,0.9615384615384616,0.8333333333333334
annealing,svm,ratiorange,63,0.0063,735,0.11071,32768,0.83401,4,0,,
annealing,svm,ratiorange,63,0.0063,735,0.11071,32768,0.83401,5,57,1.0,0.7192982456140351
annealing,svm,ratiorange,71,0.00734,727,0.11057,40960,0.88308,1,7,0.0,0.0
annealing,svm,ratiorange,71,0.00734,727,0.11057,40960,0.88308,3,549,0.8844884488448845,0.97632058287796
annealing,svm,ratiorange,71,0.00734,727,0.11057,40960,0.88308,2,87,0.8518518518518519,0.26436781609195403
annealing,svm,ratiorange,71,0.00734,727,0.11057,40960,0.88308,U,29,0.9333333333333333,0.9655172413793104
annealing,svm,ratiorange,71,0.00734,727,0.11057,40960,0.88308,4,0,,
annealing,svm,ratiorange,71,0.00734,727,0.11057,40960,0.88308,5,55,1.0,1.0
annealing,svm,ratiorange,79,0.00834,719,0.1079,45056,0.89291,1,7,0.0,0.0
annealing,svm,ratiorange,79,0.00834,719,0.1079,45056,0.89291,3,542,0.8993174061433447,0.9723247232472325
annealing,svm,ratiorange,79,0.00834,719,0.1079,45056,0.89291,2,86,0.7333333333333333,0.38372093023255816
annealing,svm,ratiorange,79,0.00834,719,0.1079,45056,0.89291,U,29,0.9655172413793104,0.9655172413793104
annealing,svm,ratiorange,79,0.00834,719,0.1079,45056,0.89291,4,0,,
annealing,svm,ratiorange,79,0.00834,719,0.1079,45056,0.89291,5,55,1.0,0.9818181818181818
annealing,svm,ratiorange,87,0.00923,711,0.10783,45056,0.93108,1,7,0.0,0.0
annealing,svm,ratiorange,87,0.00923,711,0.10783,45056,0.93108,3,536,0.9503676470588235,0.9645522388059702
annealing,svm,ratiorange,87,0.00923,711,0.10783,45056,0.93108,2,84,0.8076923076923077,0.75
annealing,svm,ratiorange,87,0.00923,711,0.10783,45056,0.93108,U,29,0.9642857142857143,0.9310344827586207
annealing,svm,ratiorange,87,0.00923,711,0.10783,45056,0.93108,4,0,,
annealing,svm,ratiorange,87,0.00923,711,0.10783,45056,0.93108,5,55,1.0,1.0
annealing,svm,ratiorange,95,0.01055,703,0.10518,49152,0.94168,1,7,0.0,0.0
annealing,svm,ratiorange,95,0.01055,703,0.10518,49152,0.94168,3,531,0.9678638941398866,0.9642184557438794
annealing,svm,ratiorange,95,0.01055,703,0.10518,49152,0.94168,2,83,0.8214285714285714,0.8313253012048193
annealing,svm,ratiorange,95,0.01055,703,0.10518,49152,0.94168,U,28,0.9310344827586207,0.9642857142857143
annealing,svm,ratiorange,95,0.01055,703,0.10518,49152,0.94168,4,0,,
annealing,svm,ratiorange,95,0.01055,703,0.10518,49152,0.94168,5,54,1.0,1.0
annealing,svm,ratiorange,103,0.01326,695,0.10515,49152,0.96691,1,7,0.0,0.0
annealing,svm,ratiorange,103,0.01326,695,0.10515,49152,0.96691,3,528,0.9809523809523809,0.9753787878787878
annealing,svm,ratiorange,103,0.01326,695,0.10515,49152,0.96691,2,80,0.9176470588235294,0.975
annealing,svm,ratiorange,103,0.01326,695,0.10515,49152,0.96691,U,28,1.0,0.9642857142857143
annealing,svm,ratiorange,103,0.01326,695,0.10515,49152,0.96691,4,0,,
