dataset,regressor,splitter,train_size,train_time,eval_size,eval_time,regressor_size,mse,r2_score
housing,sgd,10fold,456,0.0027,50,0.00025,0,36.52896,0.58926
housing,sgd,10fold,456,0.00255,50,0.00024,0,20.43736,0.7702
housing,sgd,10fold,456,0.00251,50,0.00023,0,25.29745,0.76898
housing,sgd,10fold,456,0.0025,50,0.00023,0,17.58521,0.72241
housing,sgd,10fold,456,0.00251,50,0.00024,0,20.05003,0.7544
housing,sgd,10fold,456,0.00251,50,0.00023,0,13.68436,0.86033
housing,sgd,10fold,456,0.00253,50,0.00023,0,21.47624,0.67291
housing,sgd,10fold,456,0.00252,50,0.00023,0,40.31529,0.27928
housing,sgd,10fold,456,0.0025,50,0.00023,0,23.05916,0.74032
housing,sgd,10fold,456,0.00252,50,0.00023,0,28.23092,0.64845
