dataset,regressor,splitter,train_size,train_time,eval_size,eval_time,regressor_size,mse,r2_score
power_consumption,sgd,10fold,90000,0.42321,10000,0.01213,0,1.49483,0.15109
power_consumption,sgd,10fold,90000,0.32109,10000,0.00983,0,1.52941,0.15861
power_consumption,sgd,10fold,90000,0.36155,10000,0.01017,0,1.54463,0.14402
power_consumption,sgd,10fold,90000,0.37787,10000,0.01178,0,1.55013,0.14127
power_consumption,sgd,10fold,90000,0.33114,10000,0.01025,0,1.55923,0.14264
power_consumption,sgd,10fold,90000,0.34784,10000,0.01043,0,1.55026,0.14652
power_consumption,sgd,10fold,90000,0.31384,10000,0.01034,0,1.56426,0.15096
power_consumption,sgd,10fold,90000,0.44139,10000,0.0123,0,1.53496,0.13744
power_consumption,sgd,10fold,90000,0.36327,10000,0.01201,0,1.53857,0.12963
power_consumption,sgd,10fold,90000,0.35794,10000,0.01176,0,1.55442,0.15578
