dataset,regressor,splitter,train_size,train_time,eval_size,eval_time,regressor_size,mse,r2_score
power_consumption,svr,10fold,90000,546.88965,10000,26.28684,20455424,1.48498,0.15668
power_consumption,svr,10fold,90000,547.1756,10000,26.01427,19771392,1.53225,0.15705
power_consumption,svr,10fold,90000,519.48078,10000,24.99695,19218432,1.56301,0.13384
power_consumption,svr,10fold,90000,519.55769,10000,25.86822,20807680,1.5562,0.1379
power_consumption,svr,10fold,90000,521.2239,10000,25.26392,21311488,1.57652,0.13313
power_consumption,svr,10fold,90000,508.71986,10000,27.02493,20008960,1.57275,0.13414
power_consumption,svr,10fold,90000,510.26163,10000,24.916,21413888,1.57986,0.14249
power_consumption,svr,10fold,90000,496.3878,10000,26.42142,19787776,1.54315,0.13283
power_consumption,svr,10fold,90000,496.69424,10000,25.28754,20971520,1.54172,0.12785
power_consumption,svr,10fold,90000,497.34777,10000,25.03399,20807680,1.57391,0.1452
