dataset,regressor,splitter,train_size,train_time,eval_size,eval_time,regressor_size,mse,r2_score
power_consumption,svr_noscale,ratiorange,5000,2.4592,95000,15.07615,1413120,1.47229,0.18602
power_consumption,svr_noscale,ratiorange,10000,8.26815,90000,27.24497,2789376,1.42262,0.21425
power_consumption,svr_noscale,ratiorange,15000,19.28662,85000,39.09857,4136960,1.39803,0.22902
power_consumption,svr_noscale,ratiorange,20000,34.68326,80000,49.92964,5500928,1.39116,0.23124
power_consumption,svr_noscale,ratiorange,25000,52.27607,75000,55.21333,6848512,1.37932,0.23787
power_consumption,svr_noscale,ratiorange,30000,75.17056,70000,61.73753,8200192,1.37982,0.23779
power_consumption,svr_noscale,ratiorange,35000,107.16343,65000,67.79852,9551872,1.38092,0.23954
power_consumption,svr_noscale,ratiorange,40000,142.43843,60000,68.68807,10887168,1.37351,0.24163
power_consumption,svr_noscale,ratiorange,45000,183.98559,55000,70.37249,12226560,1.37997,0.23954
power_consumption,svr_noscale,ratiorange,50000,237.33849,50000,72.48605,13565952,1.37569,0.2398
power_consumption,svr_noscale,ratiorange,55000,296.62466,45000,70.06129,14913536,1.38134,0.23707
power_consumption,svr_noscale,ratiorange,60000,334.08105,40000,67.23134,16265216,1.37385,0.24007
power_consumption,svr_noscale,ratiorange,65000,416.77326,35000,67.37489,17608704,1.36441,0.24188
power_consumption,svr_noscale,ratiorange,70000,503.49256,30000,59.9206,18948096,1.36036,0.24264
power_consumption,svr_noscale,ratiorange,75000,546.95175,25000,53.33339,20307968,1.35956,0.24254
power_consumption,svr_noscale,ratiorange,80000,635.82622,20000,45.14314,21639168,1.36562,0.24321
power_consumption,svr_noscale,ratiorange,85000,757.41246,15000,40.01356,22994944,1.37645,0.24292
power_consumption,svr_noscale,ratiorange,90000,803.33329,10000,24.5614,24338432,1.37606,0.25265
power_consumption,svr_noscale,ratiorange,95000,891.28593,5000,13.12791,25686016,1.39293,0.25527
