dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
twitter,bayes_aes_id,10fold,1420765,31.7551,157862,8.26372,196644864,0.75976,0,66926,0.6995074569368774,0.7596898066521233
twitter,bayes_aes_id,10fold,1420765,31.7551,157862,8.26372,196644864,0.75976,1,90936,0.8111836389678085,0.7598200932523973
twitter,bayes_aes_id,10fold,1420765,33.74504,157862,8.28996,196419584,0.75864,0,65044,0.690714498067585,0.750107619457598
twitter,bayes_aes_id,10fold,1420765,33.74504,157862,8.28996,196419584,0.75864,1,92818,0.8136543422184007,0.7646253959361331
twitter,bayes_aes_id,10fold,1420765,33.64262,157862,8.24341,196902912,0.75626,0,64628,0.6865511927862116,0.744553444327536
twitter,bayes_aes_id,10fold,1420765,33.64262,157862,8.24341,196902912,0.75626,1,93234,0.8119146899993164,0.764367076388442
twitter,bayes_aes_id,10fold,1420765,34.21454,157862,8.31982,202973184,0.76542,0,75828,0.7306297630512062,0.8104394155193332
twitter,bayes_aes_id,10fold,1420765,34.21454,157862,8.31982,202973184,0.76542,1,82034,0.8051009477837588,0.723809639905405
twitter,bayes_aes_id,10fold,1420765,34.13171,157862,8.25965,206462976,0.77998,0,76331,0.7442630651790957,0.8302524531317551
twitter,bayes_aes_id,10fold,1420765,34.13171,157862,8.25965,206462976,0.77998,1,81531,0.8218038288040489,0.7329114079307257
twitter,bayes_aes_id,10fold,1420765,34.39332,157862,8.0783,208510976,0.79198,0,92261,0.7940597195142469,0.8696090439080435
twitter,bayes_aes_id,10fold,1420765,34.39332,157862,8.0783,208510976,0.79198,1,65601,0.7882899530119846,0.682809713266566
twitter,bayes_aes_id,10fold,1420765,34.36807,157862,8.18767,208220160,0.78042,0,84940,0.7670189601147167,0.8501412761949612
twitter,bayes_aes_id,10fold,1420765,34.36807,157862,8.18767,208220160,0.78042,1,72922,0.8002259993408353,0.699212857573846
twitter,bayes_aes_id,10fold,1420765,34.33368,157862,8.29727,207015936,0.78094,0,85720,0.7709695537445821,0.8487050863275781
twitter,bayes_aes_id,10fold,1420765,34.33368,157862,8.29727,207015936,0.78094,1,72142,0.795760563158475,0.7004241634554074
twitter,bayes_aes_id,10fold,1420765,34.13726,157862,8.26399,208777216,0.78141,0,83808,0.7688314520966247,0.8411846124474991
twitter,bayes_aes_id,10fold,1420765,34.13726,157862,8.26399,208777216,0.78141,1,74054,0.7988423232124775,0.7137629297539633
twitter,bayes_aes_id,10fold,1420765,34.32264,157862,8.1597,210108416,0.79025,0,92952,0.7927020152612013,0.871740253033824
twitter,bayes_aes_id,10fold,1420765,34.32264,157862,8.1597,210108416,0.79025,1,64910,0.7857373926170879,0.6735479895239562
dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
twitter,bayes,10fold,1420765,32.27765,157862,12.07276,102477824,0.76457,0,66926,0.6988494380821295,0.781415294504378
twitter,bayes,10fold,1420765,32.27765,157862,12.07276,102477824,0.76457,1,90936,0.8238085488202918,0.7521773555027712
twitter,bayes,10fold,1420765,31.8921,157862,12.04271,104083456,0.76187,0,65044,0.6885077045623095,0.770755181108173
twitter,bayes,10fold,1420765,31.8921,157862,12.04271,104083456,0.76187,1,92818,0.8246754773774809,0.7556400698140446
twitter,bayes,10fold,1420765,31.874,157862,12.2956,103989248,0.7608,0,64628,0.6875994972769166,0.7618833941944668
twitter,bayes,10fold,1420765,31.874,157862,12.2956,103989248,0.7608,1,93234,0.8215809488475629,0.7600553446167707
twitter,bayes,10fold,1420765,31.9092,157862,12.0881,101830656,0.76229,0,75828,0.7150541256793783,0.8397557630426755
twitter,bayes,10fold,1420765,31.9092,157862,12.0881,101830656,0.76229,1,82034,0.823412294724604,0.6906770363507814
twitter,bayes,10fold,1420765,31.67465,157862,11.87378,100757504,0.77309,0,76331,0.7202905958737996,0.8676684440135725
twitter,bayes,10fold,1420765,31.67465,157862,11.87378,100757504,0.77309,1,81531,0.8467525374357107,0.6845494351841631
twitter,bayes,10fold,1420765,31.81403,157862,11.87784,102404096,0.78547,0,92261,0.7650920184127619,0.9133653439698247
twitter,bayes,10fold,1420765,31.81403,157862,11.87784,102404096,0.78547,1,65601,0.8325056054986274,0.6056005243822503
twitter,bayes,10fold,1420765,31.88553,157862,11.94052,101896192,0.77367,0,84940,0.741001204736672,0.8906757711325641
twitter,bayes,10fold,1420765,31.88553,157862,11.94052,101896192,0.77367,1,72922,0.8334797812247826,0.6373796659444337
twitter,bayes,10fold,1420765,31.82466,157862,11.9028,101064704,0.77631,0,85720,0.7490366183823094,0.8843560429304713
twitter,bayes,10fold,1420765,31.82466,157862,11.9028,101064704,0.77631,1,72142,0.8250317706862468,0.6479304704610351
twitter,bayes,10fold,1420765,31.79878,157862,11.8915,101916672,0.77927,0,83808,0.7475654521736492,0.8820876288659794
twitter,bayes,10fold,1420765,31.79878,157862,11.8915,101916672,0.77927,1,74054,0.8324317908195276,0.6629081481081373
twitter,bayes,10fold,1420765,31.73946,157862,12.00388,100904960,0.78329,0,92952,0.7639473022035299,0.9145472932266115
twitter,bayes,10fold,1420765,31.73946,157862,12.00388,100904960,0.78329,1,64910,0.8294981324861547,0.5953319981512863
