dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
twitter,svm_aes_id,10fold,1420765,213.74377,157862,18.34967,55193600,0.76024,0,66926,0.712934077361337,0.7273257030152706
twitter,svm_aes_id,10fold,1420765,213.74377,157862,18.34967,55193600,0.76024,1,90936,0.7962940224367919,0.7844637987155801
twitter,svm_aes_id,10fold,1420765,189.56504,157862,18.39366,55148544,0.75987,0,65044,0.7056256062075654,0.7158231351085419
twitter,svm_aes_id,10fold,1420765,189.56504,157862,18.39366,55148544,0.75987,1,92818,0.7988201745793334,0.7907302462884355
twitter,svm_aes_id,10fold,1420765,182.876,157862,18.42057,55263232,0.75843,0,64628,0.7001979838892499,0.716871944049019
twitter,svm_aes_id,10fold,1420765,182.876,157862,18.42057,55263232,0.75843,1,93234,0.8004471345220568,0.7872342707595942
twitter,svm_aes_id,10fold,1420765,185.04508,157862,18.35722,56979456,0.77254,0,75828,0.7597433862089606,0.7699530516431925
twitter,svm_aes_id,10fold,1420765,185.04508,157862,18.35722,56979456,0.77254,1,82034,0.7846818490403011,0.7749347831386986
twitter,svm_aes_id,10fold,1420765,182.78956,157862,18.3234,57925632,0.79423,0,76331,0.789790226428562,0.7827750193237348
twitter,svm_aes_id,10fold,1420765,182.78956,157862,18.3234,57925632,0.79423,1,81531,0.798306754734883,0.8049453582073076
twitter,svm_aes_id,10fold,1420765,178.94304,157862,18.1621,58519552,0.80349,0,92261,0.8337820897149397,0.8290285169248112
twitter,svm_aes_id,10fold,1420765,178.94304,157862,18.1621,58519552,0.80349,1,65601,0.7614590106915481,0.7675645188335544
twitter,svm_aes_id,10fold,1420765,178.80638,157862,18.26235,58437632,0.79177,0,84940,0.80822598977079,0.8036967271014834
twitter,svm_aes_id,10fold,1420765,178.80638,157862,18.26235,58437632,0.79177,1,72922,0.7728275974822202,0.7778722470585009
twitter,svm_aes_id,10fold,1420765,178.30911,157862,18.20917,58122240,0.79019,0,85720,0.8070900620030126,0.8063462435837611
twitter,svm_aes_id,10fold,1420765,178.30911,157862,18.20917,58122240,0.79019,1,72142,0.7701499563838773,0.7709933187324998
twitter,svm_aes_id,10fold,1420765,181.44766,157862,18.21889,58613760,0.79218,0,83808,0.8094082531516557,0.7959741313478427
twitter,svm_aes_id,10fold,1420765,181.44766,157862,18.21889,58613760,0.79218,1,74054,0.7733580754191796,0.7878845167040268
twitter,svm_aes_id,10fold,1420765,181.31663,157862,18.17396,59002880,0.80326,0,92952,0.8361538962872846,0.8281478612617265
twitter,svm_aes_id,10fold,1420765,181.31663,157862,18.17396,59002880,0.80326,1,64910,0.7572340425531915,0.7676167000462178
