dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
twitter,svm,ratiorange,78931,5.29685,1499696,175.57179,7573504,0.74303,0,753487,0.742259275443963,0.7484269801602417
twitter,svm,ratiorange,78931,5.29685,1499696,175.57179,7573504,0.74303,1,746209,0.7438238903274285,0.737582902377216
twitter,svm,ratiorange,157862,12.522,1420765,166.59352,13217792,0.74978,0,721516,0.762001431639227,0.7376939665925635
twitter,svm,ratiorange,157862,12.522,1420765,166.59352,13217792,0.74978,1,699249,0.7379659820149114,0.7622563636129619
twitter,svm,ratiorange,236794,24.05741,1341833,156.68528,18567168,0.75457,0,689110,0.7733761674786716,0.7385090914367808
twitter,svm,ratiorange,236794,24.05741,1341833,156.68528,18567168,0.75457,1,652723,0.7364750340381784,0.7715294236605728
twitter,svm,ratiorange,315725,34.23204,1262902,147.54733,23658496,0.7572,0,656472,0.7815207332480345,0.7397025311056679
twitter,svm,ratiorange,315725,34.23204,1262902,147.54733,23658496,0.7572,1,606430,0.7336511019285894,0.7761472882278252
twitter,svm,ratiorange,394656,44.9608,1183971,137.489,28459008,0.75942,0,624035,0.7902545382355005,0.7399520860208162
twitter,svm,ratiorange,394656,44.9608,1183971,137.489,28459008,0.75942,1,559936,0.7293807470258047,0.7811231997942621
twitter,svm,ratiorange,473588,59.33388,1105039,128.36716,33329152,0.76166,0,591844,0.7989714930644045,0.7415923790728638
twitter,svm,ratiorange,473588,59.33388,1105039,128.36716,33329152,0.76166,1,513195,0.7247844606522595,0.7848127904597667
twitter,svm,ratiorange,552519,65.29002,1026108,118.79061,37179392,0.76619,0,557666,0.8068497860045426,0.7491240276437868
twitter,svm,ratiorange,552519,65.29002,1026108,118.79061,37179392,0.76619,1,468442,0.7247806586143133,0.786511457128097
twitter,svm,ratiorange,631450,79.15129,947177,109.61816,39665664,0.77416,0,516016,0.8116882848900793,0.7623058199745745
twitter,svm,ratiorange,631450,79.15129,947177,109.61816,39665664,0.77416,1,431161,0.7348336954524327,0.7883389267582179
twitter,svm,ratiorange,710382,88.22844,868245,100.50725,41889792,0.77843,0,475170,0.8148989477200601,0.7700612412399773
twitter,svm,ratiorange,710382,88.22844,868245,100.50725,41889792,0.77843,1,393075,0.7393731215113782,0.7885518030910131
twitter,svm,ratiorange,789313,97.2855,789314,91.23495,44298240,0.78106,0,439684,0.8197986818454164,0.7779700876083733
twitter,svm,ratiorange,789313,97.2855,789314,91.23495,44298240,0.78106,1,349630,0.7376177216822912,0.7849469439121357
twitter,svm,ratiorange,868244,107.90153,710383,82.24352,46411776,0.78383,0,394215,0.816283507783216,0.7877478025950306
twitter,svm,ratiorange,868244,107.90153,710383,82.24352,46411776,0.78383,1,316168,0.7464062627860669,0.7789403102148225
twitter,svm,ratiorange,947176,117.63016,631451,72.98334,48021504,0.78537,0,347422,0.8142026750496753,0.7902234170547634
twitter,svm,ratiorange,947176,117.63016,631451,72.98334,48021504,0.78537,1,284029,0.7523253166406694,0.7794274528305208
twitter,svm,ratiorange,1026107,128.87715,552520,63.82982,49799168,0.78796,0,305633,0.8175611695764549,0.7938180759276648
twitter,svm,ratiorange,1026107,128.87715,552520,63.82982,49799168,0.78796,1,246887,0.7536156519903192,0.7807093933661958
twitter,svm,ratiorange,1105038,138.80697,473589,54.6058,51736576,0.78994,0,262483,0.8175951616422982,0.7993203369361064
twitter,svm,ratiorange,1105038,138.80697,473589,54.6058,51736576,0.78994,1,211106,0.7572278578440635,0.7782725265980124
twitter,svm,ratiorange,1183970,150.40663,394657,45.56534,53747712,0.79268,0,220076,0.8215837512444292,0.8024773260146495
twitter,svm,ratiorange,1183970,150.40663,394657,45.56534,53747712,0.79268,1,174581,0.7580954818891591,0.7803197369702316
twitter,svm,ratiorange,1262901,162.16965,315726,36.33812,55668736,0.79542,0,176762,0.8236166407016329,0.807532161889999
twitter,svm,ratiorange,1262901,162.16965,315726,36.33812,55668736,0.79542,1,138964,0.7611153241208853,0.7800221640137014
twitter,svm,ratiorange,1341832,168.32116,236795,27.26442,57356288,0.79909,0,133206,0.8237015196189612,0.8179136074951578
twitter,svm,ratiorange,1341832,168.32116,236795,27.26442,57356288,0.79909,1,103589,0.7679502511360918,0.7748892256899864
twitter,svm,ratiorange,1420764,179.30608,157863,18.20117,58986496,0.80328,0,92954,0.8362139202415999,0.8281085267982012
twitter,svm,ratiorange,1420764,179.30608,157863,18.20117,58986496,0.80328,1,64909,0.7572101504330648,0.7677209631946263
twitter,svm,ratiorange,1499695,191.54126,78932,9.10889,60416000,0.79919,0,46630,0.8343181126993092,0.8236542998069912
twitter,svm,ratiorange,1499695,191.54126,78932,9.10889,60416000,0.79919,1,32302,0.7500455954769287,0.7638845891895238
