dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
breast-cancer_scale,extratree0,0.93714040360669804,0.030040621349887497,5.146027594175235e-05,7.172893418976564e-05
breast-cancer_scale,svm05,0.96347144697294984,0.026501910494061493,7.2596418644440248e-05,4.5268090306520828e-05
breast-cancer_scale,extratree2,0.93424216401889226,0.0454048831231465,2.1000952359333487e-05,1.7816845961037001e-05
breast-cancer_scale,svm20,0.96493130098754842,0.024147454369885295,0.00029149792452090134,3.4348799105624361e-05
breast-cancer_scale,svm01,0.96348218119364548,0.02990241783401338,2.3633873994744042e-05,3.6847795049368485e-05
breast-cancer_scale,svm25,0.96493130098754842,0.024147454369885295,0.001587833794828624,4.7020846440682323e-05
breast-cancer_scale,extratree1,0.93710820094461145,0.032111298761888236,1.6883127672331245e-05,3.6432952117545944e-05
breast-cancer_scale,tree0,0.92978746243022758,0.022330182362328938,3.8860777140986028e-05,6.2186815322849481e-05
breast-cancer_scale,extratree3,0.92835981107771581,0.038641381570946071,1.2224565431953861e-05,5.5607913105978698e-05
breast-cancer_scale,svm0,0.96493130098754842,0.024147454369885295,0.00020682688413259349,0.00017741634648475515
breast-cancer_scale,svm30,0.96493130098754842,0.024147454369885295,0.0010569171017634422,0.00012919597516948024
breast-cancer_scale,svm15,0.96493130098754842,0.024147454369885295,0.00031068350455086872,1.5882065356912409e-05
breast-cancer_scale,treerandomentropy,0.93271790468012017,0.024040571173882579,1.7099707599832322e-05,2.2745549015126855e-05
breast-cancer_scale,svm10,0.96493130098754842,0.024147454369885295,0.00020347048926075756,4.5761992963568389e-05
breast-cancer_scale,nb3,0.96196865607556892,0.014827825238556669,0.00045379131767811368,0.00067745482506210303
breast-cancer_scale,nb2,0.95904894804637197,0.018766659869071466,0.00012576422384770868,0.00012144957801493017
breast-cancer_scale,nb1,0.95903821382567622,0.014244735533857297,0.007023086728782409,0.0058927949701309051
breast-cancer_scale,nb0,0.96050880206097045,0.016345028553548101,1.1408768557510261e-05,0.00016231771314308716
breast-cancer_scale,nb7,0.96196865607556892,0.014827825238556669,3.6919371608968867e-05,0.0001048129762958405
breast-cancer_scale,nb6,0.96050880206097045,0.016345028553548101,2.1767866225264173e-05,9.2177220613303269e-05
breast-cancer_scale,nb5,0.96197939029626445,0.016847242258951099,0.00037003599824877715,0.00099639642713127597
breast-cancer_scale,nb4,0.95904894804637186,0.019869851472021808,2.6419689627314678e-05,8.606648592806192e-05
breast-cancer_scale,knn9,0.96201159295835126,0.031429834857219348,0.00059569300818452533,0.0007130493952035075
breast-cancer_scale,knn8,0.96056247316444821,0.035021312556971232,1.1740528097144734e-05,0.00055724551142203357
breast-cancer_scale,knn5,0.96490983254615725,0.020291095874660235,1.5278743403854038e-05,0.00045627342679580973
breast-cancer_scale,knn7,0.96785100901674537,0.023795760280694737,2.9633764526329095e-05,0.0030030953764406958
breast-cancer_scale,knn1,0.95616144267926162,0.035728340412588926,1.6487571076403858e-05,0.0001560699843020089
breast-cancer_scale,knn0,0.96490983254615725,0.020291095874660235,1.2073110618321885e-05,0.00040771333066271377
