dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
connect-4,extratree0,0.63740197612812821,0.025988200116126535,0.10655760000000018,0.50195480000000015
connect-4,svm05,0.74590213403730987,0.046875780271630162,20.059115599999998,0.49779779999999646
connect-4,extratree2,0.65091585024749476,0.034315614714089601,0.10482220000000098,0.49613799999999914
connect-4,svm20,0.74591693679062199,0.046903315092459305,37.235275800000004,0.48926759999998809
connect-4,svm01,0.74557647784654901,0.047215538365786139,4.1029550000000201,0.49487139999999952
connect-4,svm25,0.7460797681725817,0.046839582612744235,37.170857799999979,0.49006380000000715
connect-4,extratree1,0.65627440312542296,0.033959182036842776,0.097846600000025319,0.47416180000000169
connect-4,tree0,0.67918851639383004,0.036124137066617337,0.71519039999998313,0.48419179999998507
connect-4,extratree3,0.63861516978096344,0.038581748156972413,0.10733880000000226,0.4922971999999845
connect-4,svm0,0.74588733347505065,0.046892298657258108,34.681214199999978,0.50369820000000798
connect-4,svm30,0.74594654229724622,0.047130136586766486,36.83781680000002,0.49554080000000339
connect-4,svm15,0.74596134505055844,0.046841615292518617,37.573207799999956,0.48109479999998256
connect-4,treerandomentropy,0.66614749230272174,0.041151020699817152,0.70843679999998133,0.46669800000008765
connect-4,svm10,0.74590213622836266,0.046897104834714758,36.225937800000018,0.46933479999997874
connect-4,nb3,0.54207490254525426,0.12452381813801476,95.442309400000028,2.527689199999986
connect-4,nb2,0.56433728384551163,0.11827011441247966,94.026305200000067,2.5313225999999305
connect-4,nb1,0.56979840100465917,0.13493483737707104,95.083245599999913,2.5309349999999542
connect-4,nb0,0.5581796572658666,0.12046108839463619,0.12872279999992314,2.5236719999999879
connect-4,nb7,0.54701832101457659,0.12101851367166079,94.140513600000119,2.5812424000000647
connect-4,nb6,0.55591443942854013,0.12818709883416024,93.94682660000008,2.5283110000000306
connect-4,nb5,0.54919468398860494,0.12766967676648944,93.541331399999947,2.5291790000002039
connect-4,nb4,0.55532263933003911,0.11548207867823383,95.449448999999916,2.5406570000002828
connect-4,knn9,0.73336485382018191,0.043037777944902017,2.1894022000000404,111.40667079999984
connect-4,knn8,0.72895382724135183,0.039260085827033525,2.3196260000000621,109.32795040000001
connect-4,knn5,0.71311526682269588,0.034840326777185134,2.3423907999998845,99.874969599999901
connect-4,knn7,0.72643733726776316,0.040745866432536207,2.2585237999999661,105.53971660000006
connect-4,knn1,0.66522958794314424,0.0379375937007531,2.2827052000000547,77.256134000000387
connect-4,knn0,0.71311526682269588,0.034840326777185134,2.2376704000000247,97.884524400000004
connect-4,knn3,0.69671420835133835,0.034866701508039159,2.2589081999998597,89.260797800000006
connect-4,knn2,0.62282120933937157,0.028093421039452459,2.2664129999997384,84.984899200000285
connect-4,t8,0.63192482813052497,0.03109961921382836,96.266727399999951,0.4744805999998789
connect-4,t9,0.62113418625763739,0.031665882512616435,95.209059600000188,0.48338599999988219
connect-4,t6,0.62834234820133628,0.051666590052495347,96.483311799999868,0.4976561999996193
connect-4,t7,0.63959235526748182,0.031851565589185234,95.949896000000081,0.46684439999989991
connect-4,t4,0.64674128428740318,0.048553376877622983,97.72097500000018,0.47509579999968993
connect-4,t5,0.64455152959812279,0.028643721422480974,94.580992400000099,0.47849300000125367
connect-4,t2,0.63102161039845661,0.040069642568665402,95.713852399999809,0.4728373999994801
connect-4,t3,0.63580278687904623,0.037151692751312998,98.768574799999627,0.49584979999963252
connect-4,t0,0.63812649706427405,0.047069876213392571,95.322385600000416,0.47109080000009274
connect-4,t1,0.62920075671078968,0.035517168251233411,96.68365600000034,0.47867759999971893
connect-4,treerandomgini,0.68204537876490257,0.037705978847254094,0.68712059999961639,0.48245119999992314
connect-4,treebestentropy,0.66345357634388546,0.038783686218026206,0.75007460000015269,0.47013240000051154
connect-4,treebestgini,0.68195652718818367,0.037554332001473283,0.7118600000001607,0.47558099999987463
connect-4,tree7_simple_ensemble,0.72593408638068246,0.045208401088394946,3.1425852000000303,3.5134844000000158
connect-4,tree7_weighted_ensemble,0.72855422958877569,0.040782581309713496,3.2535098000003928,5.9290987999997018
connect-4,nb7_simple_ensemble,0.55356108429773621,0.12300881342249685,677.96583439999961,18.818058000000018
connect-4,nb7_weighted_ensemble,0.55363509806429678,0.12303176813750501,690.86316740000041,20.848296400000255
connect-4,extraforest_simple_ensemble,0.74353418539874461,0.045320978222462262,960.83006499999976,5.394603600000119
connect-4,extraforest_weighted_ensemble,0.7437412716669386,0.047331616855557562,979.77780299999938,8.0861462000008029
connect-4,mix_default_simple_ensemble,0.74855203283915006,0.042515368715358055,39.772502799999344,107.43422360000041
connect-4,mix_default_weighted_ensemble,0.75666368530100192,0.043836875567309488,39.780895000000598,109.33745740000013
connect-4,svm7_simple_ensemble,0.74591693898167488,0.046867437842750319,217.02897120000051,3.5650510000014037
connect-4,svm7_weighted_ensemble,0.74599095165270901,0.046829221813271128,216.27798260000128,5.6899455999999189
connect-4,knn7_simple_ensemble,0.72821362932179157,0.039090467258280574,15.767631799998345,678.76548959999639
connect-4,knn7_weighted_ensemble,0.72923499191216645,0.039141318206399323,16.07830919999833,677.17437140000254
