dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
digits,extratree0,0.73403125967192817,0.040754288285724402,0.0015451999999999909,0.01349800000000001
digits,svm05,0.91208449396471669,0.024003892531163456,0.092864599999999992,0.013706200000000002
digits,extratree2,0.7240126895697927,0.034553067786021713,0.0015768000000000227,0.013480600000000065
digits,svm20,0.90429278861033724,0.031352423676205263,0.092757400000000031,0.013714000000000004
digits,svm01,0.9193299288146084,0.029137931860416456,0.094041200000000075,0.013773400000000047
digits,svm25,0.90374651810584949,0.025479031132667498,0.0921768000000001,0.013720799999999844
digits,extratree1,0.73460074280408538,0.050155166828860086,0.0015532000000000323,0.01351659999999999
digits,tree0,0.78859021974620869,0.043006686393703308,0.01490360000000015,0.013549399999999868
digits,extratree3,0.7396162178891984,0.058959048488612366,0.0015384000000000064,0.013426800000000138
digits,svm0,0.91487929433611881,0.02751517393485341,0.092886799999999964,0.013636599999999888
digits,svm30,0.90263540699473843,0.028673100139695273,0.092703800000000045,0.013792399999999993
digits,svm15,0.90541318477251609,0.025818888002375102,0.092921400000000001,0.0137158000000003
digits,treerandomentropy,0.82365212008666044,0.054501339822427872,0.0073610000000000394,0.01361200000000018
digits,svm10,0.90374187558031571,0.025734414961881596,0.093567799999999937,0.013779399999999952
digits,nb3,0.81024914887031885,0.024901994007324547,0.079985399999999984,0.1980684000000002
digits,nb2,0.76854379449086974,0.030325057337310342,0.085500400000000282,0.1964912
digits,nb1,0.77909161250386871,0.01849136847858945,0.084615399999999494,0.19737760000000043
digits,nb0,0.78800526152893835,0.027435512301537551,0.0025997999999997747,0.19642539999999933
digits,nb7,0.77966264314453737,0.031982225007114923,0.080986200000000258,0.19632520000000042
digits,nb6,0.76963169297431144,0.018212366199253854,0.080956799999999871,0.19653280000000031
digits,nb5,0.7880129990714948,0.038079512222437918,0.077766399999999791,0.19615239999999973
digits,nb4,0.8052522438873414,0.024916116549918529,0.083019599999999721,0.19698420000000033
digits,knn9,0.95716341689879292,0.013881777926495529,0.0022075999999998431,0.13455640000000102
digits,knn8,0.95938409161250393,0.011985604173748348,0.0020986000000000615,0.13414599999999979
digits,knn5,0.9643933766635715,0.0096708243257410797,0.0021657999999987964,0.13239179999999989
digits,knn7,0.95994274218508191,0.013205538548416209,0.0020975999999997439,0.13360440000000012
digits,knn1,0.96495047972763837,0.012866416467126413,0.0021523999999985221,0.12597100000000125
digits,knn0,0.9643933766635715,0.0096708243257410797,0.0021052000000004512,0.13193780000000074
digits,knn3,0.96662024141132774,0.01038448088770517,0.0021277999999995247,0.13016239999999896
digits,knn2,0.96828381306097189,0.0051431649666017357,0.0021045999999998342,0.12868979999999935
digits,t8,0.68673320953265249,0.058439128750183339,0.07653040000000004,0.013495199999999841
digits,t9,0.6961699164345404,0.038550228009337641,0.083569999999999561,0.013433799999999963
digits,t6,0.70118539151965342,0.023965457172302713,0.079667599999999797,0.013439400000000035
digits,t7,0.71176880222841221,0.05157301773905773,0.079543400000000014,0.013444800000000612
digits,t4,0.70957907768492723,0.049678072578562077,0.079150399999998913,0.013446199999999209
digits,t5,0.72456050758279178,0.064744831980474857,0.076498999999999734,0.013417399999999446
digits,t2,0.70674094707520896,0.0084620652068810864,0.084165599999999327,0.013491600000001113
digits,t3,0.69342308882698855,0.055445314220836116,0.078171800000000499,0.013428000000001106
digits,t0,0.7006607861343237,0.051121982809266463,0.082532599999999692,0.013424400000000248
digits,t1,0.72233519034354698,0.052070286117601373,0.083069799999999819,0.013460399999998884
digits,treerandomgini,0.78578922934076145,0.035705501805876998,0.0059709999999995487,0.01341120000000089
digits,treebestentropy,0.81247601361807487,0.026952773019660387,0.024434999999999006,0.013479000000000241
digits,treebestgini,0.78300990405447224,0.035168994655717649,0.014772200000000169,0.013436600000000709
digits,tree7_simple_ensemble,0.9126477870628289,0.027311553986890402,0.057151000000000354,0.10086979999999954
digits,tree7_weighted_ensemble,0.89762302692664808,0.032781965120509682,0.056972800000001197,0.15911399999999959
digits,nb7_simple_ensemble,0.79802073661405137,0.029430888729721914,0.56904180000000226,1.3811700000000009
digits,nb7_weighted_ensemble,0.80079696688331781,0.027967437640014286,0.56991839999999883,1.4475212
digits,extraforest_simple_ensemble,0.91042401733209533,0.0235158669317539,0.80338979999999938,0.14295120000000025
digits,extraforest_weighted_ensemble,0.91209377901578459,0.029400609158023568,0.80180320000000049,0.22488760000000099
digits,mix_default_simple_ensemble,0.94047044258743429,0.020914240945798093,0.11170359999999988,0.39070760000000038
digits,mix_default_weighted_ensemble,0.94659393376663559,0.018023718361120222,0.11306579999999826,0.43817280000000097
digits,svm7_simple_ensemble,0.91097802537913952,0.025506773723811479,0.64298839999999724,0.10351780000000588
digits,svm7_weighted_ensemble,0.91209532652429581,0.030559553932111023,0.63902879999999984,0.16187439999999639
digits,knn7_simple_ensemble,0.96550603528319401,0.0097029450047246731,0.01480139999999892,0.92838919999999803
digits,knn7_weighted_ensemble,0.96550603528319401,0.0097029450047246731,0.014738600000001156,0.99246420000000057
