dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
heart_scale,tree9,0.64074074074074072,0.06889287125088249,0.003056800000000004,0.0024167999999999855
heart_scale,tree8,0.72592592592592597,0.03186046395200972,0.0030137999999999996,0.0023524000000000101
heart_scale,tree5,0.75185185185185177,0.054433105395181737,0.0027371999999999952,0.0024038000000000002
heart_scale,tree4,0.69259259259259254,0.046259244432580747,0.0029524000000000104,0.002356799999999981
heart_scale,tree7,0.69999999999999996,0.071626220762273041,0.0030247999999999608,0.0024396000000000083
heart_scale,tree6,0.74814814814814812,0.022222222222222233,0.0024590000000000111,0.0023442000000000185
heart_scale,tree1,0.70740740740740748,0.03186046395200972,0.0026928000000000065,0.0023130000000000095
heart_scale,tree3,0.67037037037037039,0.063505289627712042,0.0024395999999999862,0.002326399999999995
heart_scale,tree2,0.69259259259259254,0.03813196348513706,0.0025141999999999777,0.0024399999999999756
heart_scale,svm4,0.75555555555555554,0.042873470010334147,0.0032008000000000258,0.0029287999999999979
heart_scale,svm5,0.74074074074074081,0.046848557928420451,0.0030245999999999997,0.0028959999999999876
heart_scale,svm6,0.77777777777777779,0.040572041296678948,0.0025738000000000037,0.0028932000000000402
heart_scale,svm7,0.7592592592592593,0.083641405856564571,0.0032465999999999441,0.0029343999999999816
heart_scale,svm1,0.7851851851851851,0.009072184232530275,0.0028136000000000159,0.0028818000000000233
heart_scale,svm2,0.79259259259259252,0.035908739684565399,0.0029538000000000064,0.0029069999999999929
heart_scale,svm3,0.74444444444444446,0.037770514915502096,0.0026138000000000216,0.0028851999999999879
heart_scale,svm8,0.77777777777777779,0.037037037037037042,0.0031339999999999701,0.0029530000000000055
heart_scale,svm9,0.80000000000000004,0.037770514915502096,0.0034514000000000155,0.0029047999999999739
heart_scale,nb10,0.78518518518518521,0.084943295860590462,0.0026841999999999812,0.0083353999999999928
heart_scale,knn10,0.80000000000000004,0.033945005147821068,0.0027365999999999779,0.01417660000000005
heart_scale,nb9,0.83333333333333337,0.020286020648339495,0.0030410000000000272,0.0082848000000000262
heart_scale,nb8,0.78518518518518532,0.034346735168502597,0.0029884000000000464,0.008286399999999982
heart_scale,svm10,0.74814814814814812,0.053158148497804904,0.0028238000000000429,0.0028118000000000531
heart_scale,nb3,0.80370370370370381,0.018885257457751062,0.0023731999999999863,0.0079578000000000149
heart_scale,nb2,0.81851851851851865,0.027216552697590875,0.0022105999999999515,0.0070940000000000222
heart_scale,nb1,0.77407407407407403,0.054180514216028854,0.0021864000000000328,0.0069051999999999222
heart_scale,nb7,0.79629629629629628,0.071242163191375371,0.0025468000000000044,0.0068437999999999997
heart_scale,nb6,0.82592592592592595,0.030089031128281339,0.0019892000000000911,0.006864400000000037
heart_scale,nb5,0.76296296296296306,0.083968770731515804,0.0023191999999999879,0.0068242000000001022
heart_scale,nb4,0.81851851851851853,0.013857990321384994,0.0023737999999999815,0.0068573999999999909
heart_scale,knn9,0.80370370370370381,0.034346735168502604,0.0024869999999999949,0.011797000000000057
heart_scale,knn8,0.80740740740740746,0.038131963485137033,0.0024850000000000263,0.011577200000000065
heart_scale,knn5,0.79629629629629639,0.026189140043946197,0.0022972000000000214,0.011598599999999903
heart_scale,knn4,0.81851851851851853,0.029629629629629634,0.0023359999999999826,0.011973799999999946
heart_scale,knn7,0.79259259259259263,0.021596118129056676,0.0025038000000000781,0.011655399999999982
heart_scale,knn6,0.79259259259259263,0.055431961285539857,0.0019793999999999645,0.011592599999999998
heart_scale,knn1,0.82222222222222219,0.034346735168502604,0.0021826000000000787,0.011557200000000111
heart_scale,knn3,0.78888888888888897,0.055678875475455192,0.0020171999999999634,0.011802599999999951
heart_scale,knn2,0.79259259259259263,0.024567591039669628,0.0021320000000000228,0.011974799999999864
heart_scale,tree10,0.69999999999999996,0.077158024651850593,0.0021644000000001105,0.0019010000000000637
heart_scale,svmsmall_simple_ensemble,0.80740740740740746,0.043192236258113352,0.023977600000000088,0.024635999999999925
heart_scale,svmsmall_weighted_ensemble,0.81111111111111123,0.037770514915502103,0.024052399999999974,0.036240400000000061
heart_scale,knnsmall_simple_ensemble,0.83333333333333326,0.023424278964210236,0.022494200000000131,0.11792260000000007
heart_scale,knnsmall_weighted_ensemble,0.82962962962962972,0.027216552697590882,0.022475400000000166,0.13117260000000003
heart_scale,nbsmall_simple_ensemble,0.84074074074074079,0.0090721842325302768,0.022856400000000044,0.070431600000000039
heart_scale,nbsmall_weighted_ensemble,0.84814814814814832,0.0074074074074073955,0.022678799999999909,0.082113000000000019
heart_scale,treesmall_simple_ensemble,0.80000000000000004,0.027216552697590869,0.022035200000000189,0.020069599999999889
heart_scale,treesmall_weighted_ensemble,0.8222222222222223,0.02222222222222224,0.022136799999999825,0.032100400000000209
