dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
iris,extratree0,0.91999999999999993,0.074833147735478819,0.00019239999999999259,0.0011386000000000117
iris,svm05,0.85999999999999999,0.15832456116050558,0.0057222000000000106,0.0011257999999999991
iris,extratree2,0.90666666666666662,0.090431066441670219,0.00016779999999999573,0.001115200000000005
iris,svm20,0.88000000000000012,0.13759844960366863,0.0050222000000000096,0.001125799999999988
iris,svm01,0.7466666666666667,0.27047283700134395,0.001883799999999991,0.0011204000000000103
iris,svm25,0.87333333333333341,0.14817407180595246,0.0050611999999999767,0.0011228000000000128
iris,extratree1,0.91333333333333333,0.061824123303304682,0.00016439999999999787,0.0011216000000000004
iris,tree0,0.91999999999999993,0.068637534273246648,0.00019739999999999203,0.0011176000000000074
iris,extratree3,0.94666666666666666,0.061824123303304682,0.00016619999999999412,0.0011147999999999935
iris,svm0,0.85999999999999999,0.15832456116050558,0.0053225999999999994,0.0011249999999999871
iris,svm30,0.87333333333333341,0.14360439485692014,0.0049224000000000047,0.0011580000000000034
iris,svm15,0.86666666666666681,0.15055453054181622,0.0052996000000000041,0.0011378000000000111
iris,treerandomentropy,0.90000000000000002,0.094280904158206363,0.00017979999999999662,0.0011199999999999878
iris,svm10,0.85999999999999999,0.15832456116050558,0.0053949999999999944,0.001131799999999994
iris,nb3,0.92666666666666675,0.053333333333333323,0.001159999999999961,0.0054679999999999842
iris,nb2,0.92000000000000015,0.054160256030906392,0.0011252000000000039,0.0054589999999999916
iris,nb1,0.91333333333333333,0.04988876515698587,0.0012070000000000026,0.0054754000000000191
iris,nb0,0.94666666666666666,0.033993463423951889,0.00034459999999998382,0.0054678000000000001
iris,nb7,0.91999999999999993,0.049888765156985877,0.0012256000000000044,0.0054838000000000161
iris,nb6,0.93333333333333324,0.047140452079103161,0.0011253999999999876,0.0054672000000000054
iris,nb5,0.94666666666666666,0.045215533220835109,0.0012043999999999944,0.0055508000000000337
iris,nb4,0.94666666666666666,0.033993463423951889,0.0011287999999999964,0.0054692000000000187
iris,knn9,0.92000000000000015,0.09092121131323902,0.00031799999999997385,0.006590600000000002
iris,knn8,0.91333333333333333,0.088443327742810648,0.00024059999999999083,0.0066292000000000243
iris,knn5,0.91333333333333333,0.083266639978645293,0.00023360000000001159,0.0063533999999999978
iris,knn7,0.92000000000000015,0.085893991511500817,0.00023400000000002309,0.0064554000000000226
iris,knn1,0.92666666666666653,0.067986926847903778,0.00023499999999996302,0.0061568000000000508
iris,knn0,0.91333333333333333,0.083266639978645293,0.00023620000000006413,0.0063844000000000452
iris,knn3,0.90666666666666662,0.092855921847894096,0.00023379999999999511,0.0062545999999999765
iris,knn2,0.90666666666666662,0.097524925588851979,0.00023740000000000984,0.0062207999999999595
iris,t8,0.85999999999999999,0.1466666666666667,0.0010102000000000722,0.0011284000000000294
iris,t9,0.94000000000000006,0.038873012632301994,0.00098840000000000039,0.0011276000000000064
iris,t6,0.85333333333333328,0.11661903789690603,0.0009431999999999441,0.0011182000000000247
iris,t7,0.87333333333333329,0.14204850501775013,0.0010504000000000513,0.0011178000000000576
iris,t4,0.90666666666666662,0.077172246018601481,0.00096120000000006196,0.0011195999999999095
iris,t5,0.90000000000000002,0.078881063774661531,0.001028799999999963,0.001119799999999982
iris,t2,0.86666666666666681,0.09428090415820635,0.00095840000000007035,0.0011108000000000118
iris,t3,0.86666666666666659,0.12823589374447564,0.00097559999999998761,0.0011219999999999785
iris,t0,0.91333333333333333,0.09333333333333331,0.0010337999999999957,0.0011177999999999245
iris,t1,0.92666666666666675,0.067986926847903778,0.0010279999999999844,0.0011186000000000362
iris,treerandomgini,0.88000000000000012,0.14391355429948602,0.00017279999999999517,0.001186400000000054
iris,treebestentropy,0.91999999999999993,0.077746025264603988,0.00026119999999991706,0.0011611999999999955
iris,treebestgini,0.93333333333333324,0.063245553203367569,0.00020680000000008469,0.0011397999999999352
iris,tree7_simple_ensemble,0.90000000000000002,0.10327955589886445,0.0012714000000000336,0.0085139999999999556
iris,tree7_weighted_ensemble,0.91999999999999993,0.074833147735478819,0.0012284000000000184,0.013074799999999919
iris,nb7_simple_ensemble,0.93333333333333335,0.042163702135578379,0.0081718000000000398,0.038688199999999992
iris,nb7_weighted_ensemble,0.93333333333333335,0.042163702135578379,0.008108799999999982,0.04353740000000008
iris,extraforest_simple_ensemble,0.92666666666666653,0.067986926847903778,0.0098619999999999038,0.011708600000000003
iris,extraforest_weighted_ensemble,0.92666666666666653,0.067986926847903778,0.010526599999999987,0.018586399999999871
iris,mix_default_simple_ensemble,0.91999999999999993,0.077746025264603988,0.0066996000000000503,0.01660339999999998
iris,mix_default_weighted_ensemble,0.90666666666666662,0.092855921847894096,0.0063463999999999743,0.020139200000000024
iris,svm7_simple_ensemble,0.85999999999999999,0.15832456116050558,0.033847999999999968,0.0083172000000000246
iris,svm7_weighted_ensemble,0.85999999999999999,0.15832456116050558,0.03350540000000013,0.013273800000000158
iris,knn7_simple_ensemble,0.91333333333333333,0.083266639978645293,0.0016675999999999469,0.045021399999999989
iris,knn7_weighted_ensemble,0.91333333333333333,0.083266639978645293,0.0015876000000000444,0.050380199999999944
