dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
random10,tree9,0.3286,0.018682612237050783,0.5125050000000001,0.036923199999999892
random10,tree8,0.33040000000000003,0.019703806738800501,0.4648125999999998,0.035433400000000149
random10,tree5,0.32820000000000005,0.0070540768354193659,0.47392419999999974,0.035526399999999826
random10,tree4,0.33740000000000003,0.011568923891183646,0.47087359999999945,0.035967200000000331
random10,tree7,0.32720000000000005,0.014715977711317716,0.48670780000000063,0.03532219999999988
random10,tree6,0.3322,0.012188519188154064,0.48080300000000059,0.035161199999999934
random10,tree1,0.31619999999999998,0.01092520022699814,0.45577300000000065,0.035138800000000713
random10,tree3,0.32540000000000002,0.013184839779079601,0.4640238000000011,0.035206199999998945
random10,tree2,0.31219999999999998,0.0079849859110708576,0.4477173999999991,0.035367399999999806
random10,svm4,0.31159999999999999,0.0090906545418908188,0.89512980000000009,0.03660279999999929
random10,svm5,0.32239999999999996,0.018810635289643992,0.88602620000000054,0.036791800000000305
random10,svm6,0.31019999999999998,0.0087498571416909521,0.90123359999999908,0.036608599999999568
random10,svm7,0.31719999999999998,0.021857721747702806,0.92917580000000155,0.036624199999999975
random10,svm1,0.31759999999999999,0.004963869458396347,0.86836260000000176,0.036604600000001139
random10,svm2,0.32579999999999998,0.010107423014794632,0.83548180000000227,0.036587000000001521
random10,svm3,0.33119999999999999,0.012416118556134998,0.86135759999999806,0.036613599999998317
random10,svm8,0.30640000000000001,0.0087086164228309046,0.87430179999999924,0.036808599999999102
random10,svm9,0.317,0.0070710678118654814,0.92868180000000389,0.036531000000002221
random10,nb10,0.33960000000000001,0.012026637102698317,0.4481994000000043,0.50835979999999092
random10,knn10,0.45579999999999998,0.020311573055772907,0.46508839999999907,0.31604360000000326
random10,nb9,0.36679999999999996,0.0070256672281001249,0.51850859999999843,0.5431559999999962
random10,nb8,0.34520000000000001,0.020291870293297262,0.45242359999999737,0.5111964
random10,svm10,0.31920000000000004,0.0090642153548997368,0.86862059999999697,0.03700539999999819
random10,nb3,0.35899999999999999,0.0099799799598997291,0.45283019999999397,0.50965059999999196
random10,nb2,0.34879999999999994,0.0055999999999999861,0.43670440000000499,0.51050720000000072
random10,nb1,0.34599999999999997,0.0054037024344425009,0.44669400000000226,0.51415679999999497
random10,nb7,0.35899999999999993,0.0046904157598234341,0.47743279999999971,0.50889200000000301
random10,nb6,0.35220000000000001,0.012781236246936355,0.4736279999999965,0.51530979999999427
random10,nb5,0.35539999999999999,0.0069455021416741413,0.46523860000000355,0.51066000000000433
random10,nb4,0.35679999999999995,0.022850820554194549,0.45932360000000189,0.51061280000000409
random10,knn9,0.45660000000000001,0.0077356318423254713,0.54034719999999647,0.3415610000000015
random10,knn8,0.46799999999999997,0.027698375403622501,0.44926780000000405,0.30180679999999427
random10,knn5,0.46440000000000003,0.012322337440599476,0.4618726000000038,0.30365479999999823
random10,knn4,0.46699999999999997,0.013038404810405285,0.46110719999999789,0.30231099999999744
random10,knn7,0.47479999999999994,0.015104966070799357,0.47333120000000689,0.30238860000000045
random10,knn6,0.46760000000000002,0.015882065356873445,0.46776179999999384,0.30211180000000015
random10,knn1,0.47119999999999995,0.01047664068296702,0.4416029999999978,0.30032899999999929
random10,knn3,0.46239999999999998,0.011464728518373201,0.45176100000000474,0.29990519999999493
random10,knn2,0.4556,0.0090022219479415268,0.4394487999999967,0.30153519999999501
random10,tree10,0.33860000000000001,0.013062924634246334,0.46062699999999379,0.035362600000007662
random10,svmsmall_simple_ensemble,0.34260000000000002,0.0094148818367518431,9.7754737999999968,0.43335999999999897
random10,svmsmall_weighted_ensemble,0.34799999999999998,0.012853015210447695,9.0890173999999941,0.63724260000000188
random10,knnsmall_simple_ensemble,0.55280000000000007,0.0087498571416909244,4.5626387999999904,3.0861824000000069
random10,knnsmall_weighted_ensemble,0.56059999999999999,0.0082849260708831481,4.6188518000000158,3.2842528000000017
random10,nbsmall_simple_ensemble,0.38160000000000005,0.0083090312311364031,4.6063722000000098,5.217040799999995
random10,nbsmall_weighted_ensemble,0.38440000000000002,0.010892199043352091,4.6979086000000168,5.6300520000000009
random10,treesmall_simple_ensemble,0.48260000000000003,0.010170545708072905,4.7758119999999966,0.38453979999999321
random10,treesmall_weighted_ensemble,0.48979999999999996,0.016606023003717656,4.890262000000007,0.62572800000001505
