dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
random10,t14,0.19439999999999999,0.017465394355696637,0.41209839999999998,0.038866800000000111
random10,t15,0.22459999999999997,0.017453939383417143,0.34774060000000001,0.03567039999999988
random10,t16,0.20859999999999998,0.018757398540309372,0.37445079999999964,0.035633799999999917
random10,t17,0.19639999999999999,0.0098914104151025927,0.34140120000000013,0.035930999999999894
random10,t10,0.22939999999999999,0.016057397049335238,0.34107020000000043,0.035426599999999905
random10,t11,0.20059999999999997,0.019468949637820736,0.35197340000000066,0.035793800000000431
random10,t12,0.2218,0.016833300330000654,0.35374440000000007,0.035605000000000331
random10,t13,0.22999999999999998,0.016864163187066239,0.36761419999999989,0.035801000000000728
random10,t18,0.1996,0.02801142624001856,0.35321760000000069,0.035571999999999805
random10,t19,0.19519999999999998,0.017010584939971936,0.36782200000000032,0.035824000000000925
random10,t8,0.20219999999999999,0.027235271248878725,0.36117740000000043,0.035866399999999743
random10,t9,0.21259999999999998,0.023431602591372194,0.38184020000000063,0.035442999999999357
random10,t6,0.2112,0.014190137420053412,0.38620180000000059,0.035619400000000925
random10,t7,0.22739999999999999,0.018521339044464361,0.38670439999999928,0.035783199999999481
random10,t4,0.23079999999999998,0.0097447421720638638,0.35824899999999926,0.035448999999999842
random10,t5,0.22459999999999997,0.022632719677493467,0.38614679999999735,0.035514999999999478
random10,t2,0.21840000000000001,0.017153425313913246,0.34927859999999811,0.0357908000000009
random10,t3,0.22479999999999997,0.018967340351245879,0.35244519999999968,0.035728200000001209
random10,t0,0.21440000000000001,0.018937792902025304,0.37891499999999922,0.035426199999999144
random10,t1,0.21880000000000002,0.0082073138114732835,0.36096379999999895,0.03573499999999967
random10,t29,0.22000000000000003,0.016346253393362039,0.36831779999999836,0.035790799999998055
random10,t28,0.22459999999999999,0.012815615474880637,0.36567179999999977,0.035600999999998349
random10,t21,0.20699999999999999,0.021999999999999999,0.35389599999999888,0.035824200000000417
random10,t20,0.21580000000000005,0.0082800966177937786,0.40695299999999862,0.035438800000000013
random10,t23,0.215,0.031157663583779836,0.3692893999999981,0.035718400000001795
random10,t22,0.21539999999999998,0.020597087172704785,0.36716459999999956,0.035833399999998503
random10,t25,0.2306,0.026829834140374403,0.37350300000000092,0.035534400000003075
random10,t24,0.21739999999999998,0.01436105845681299,0.35254639999999854,0.035639799999998445
random10,t27,0.22879999999999998,0.012172099243762351,0.36163120000000221,0.035288000000001318
random10,t26,0.2306,0.027222049886075812,0.38534340000000211,0.03563780000000065
random10,extraforest2_simple_ensemble,0.34860000000000002,0.0071721684308164377,3.6870333999999985,0.38005540000000337
random10,extraforest2_weighted_ensemble,0.35280000000000006,0.019156200040717879,3.7282650000000017,0.59681520000000032
