dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
random10,extratree0,0.30520000000000003,0.021008569680013914,0.0001538757940678052,0.00012886426967937905
random10,svm05,0.37980000000000003,0.012286578042726147,0.020076378751159408,0.00019863977446608647
random10,extratree2,0.28120000000000001,0.017220917513303395,0.00011322614539095412,0.00035400056497115052
random10,svm20,0.38500000000000001,0.01404279174523358,0.062199845354790881,0.00034422109174211583
random10,svm01,0.37959999999999999,0.011603447763488241,0.077372655122079192,0.0028153485325986731
random10,svm25,0.37960000000000005,0.013836184445142395,0.21568372159011059,0.0034760908733819057
random10,extratree1,0.28520000000000001,0.027132268611378591,0.00019924316801358987,0.00055148504966135283
random10,tree0,0.4204,0.010442221985765278,0.0013453089459293445,0.00053390283760401832
random10,extratree3,0.30020000000000002,0.013876599006961317,0.00012413540993555533,0.00036913412196575495
random10,svm0,0.379,0.011366617790706269,0.028913364331399391,0.00060733233076618054
random10,svm30,0.37059999999999998,0.012076423311560433,0.023856763834182986,0.00019124267306111072
random10,svm15,0.37880000000000003,0.0079347337699509565,0.035313069520510547,0.00049539745659807322
random10,treerandomentropy,0.38419999999999999,0.019415457759218557,0.00037028821207324203,9.3178109015819221e-05
random10,svm10,0.38,0.011661903789690611,0.032850732068558153,0.00082665625262536133
random10,nb3,0.36859999999999998,0.012986146464598353,0.063202749710436101,0.035240145802193409
random10,nb2,0.37040000000000006,0.012924395537122822,0.0076373302298633067,0.00069076438819879414
random10,nb1,0.36720000000000003,0.012056533498481238,0.033493382382788935,0.030975707142212556
random10,nb0,0.37160000000000004,0.013836184445142395,5.6516900127134246e-05,0.0015249927212938339
random10,nb7,0.36680000000000001,0.013466996695625953,0.0088809477196988996,0.010909186429792947
random10,nb6,0.36819999999999997,0.015432433379088355,0.00040360852319197392,0.0020233610058555465
random10,nb5,0.36899999999999994,0.015427248620541525,0.018200104278822717,0.038537296041106589
random10,nb4,0.37320000000000003,0.0088181630740194489,0.0056367270148528527,0.0005043871528803036
random10,knn9,0.54359999999999997,0.011774548823628031,0.00017701909501151596,0.0012843171570884662
random10,knn8,0.54080000000000006,0.013644046320648444,4.3432706561298381e-05,0.0013759600866355779
random10,knn5,0.52580000000000005,0.016809521111560567,4.842891698234454e-05,0.0013855062612667139
random10,knn7,0.53620000000000001,0.0013266499161421611,0.00020754623580191382,0.03061758109582715
random10,knn1,0.46580000000000005,0.012874781551544852,0.0002444638214545733,0.019527246865855725
random10,knn0,0.52580000000000005,0.016809521111560567,3.5434446517367622e-05,0.0018625601090990771
random10,knn3,0.48880000000000001,0.011565465835840779,3.5253368638364276e-05,0.0015736904905364901
random10,knn2,0.45339999999999997,0.011791522378386932,0.00024055053523905007,0.00060315391069765687
random10,t8,0.28439999999999999,0.019022092419079449,0.0033334765035962677,0.00025874744444254899
random10,t9,0.27619999999999995,0.022842066456430773,0.029414958464015067,0.00045389734521593747
random10,t6,0.26020000000000004,0.021994544778194444,0.0021582027337523992,0.00067435788718417107
random10,t7,0.28799999999999998,0.013281566172707182,0.0037547527961230703,0.0015574238986208486
random10,t4,0.28819999999999996,0.013760813929415651,0.0055695440387854419,0.00034630102512242956
random10,t5,0.29599999999999999,0.018033302526159759,0.0038018617228930476,0.0006536826753050553
random10,t2,0.28399999999999997,0.019809088823063006,0.011300282357537605,0.00013520059172048815
random10,t3,0.25999999999999995,0.036513011379506896,0.011192993869381275,0.0021676180475255565
random10,t0,0.28080000000000005,0.010476640682967024,0.013246670896495272,0.00014518953129604844
random10,t1,0.26219999999999999,0.016485144827995901,0.00096154313476090787,0.00017274096213701533
random10,treerandomgini,0.38520000000000004,0.015574337867145424,0.00016651678593899191,0.00013260829537610537
random10,treebestentropy,0.41739999999999994,0.011706408501329502,0.0059482551054906669,0.00034226714711873082
random10,treebestgini,0.4224,0.01463693957082559,0.0010305116399129269,0.0001713389622923186
random10,tree7_simple_ensemble,0.51280000000000003,0.0060133185513491687,0.0068622482205133815,0.0006783590789572405
random10,tree7_weighted_ensemble,0.51860000000000006,0.010892199043352091,0.0070976429439631086,0.0008093450685604099
random10,nb7_simple_ensemble,0.37039999999999995,0.012273548794053018,0.22393966692517908,0.10736293893965589
random10,nb7_weighted_ensemble,0.36940000000000001,0.011943198901466903,0.04007636904011274,0.047142507759347717
random10,extraforest_simple_ensemble,0.44519999999999998,0.014455448799674135,0.063479760089648798,0.032672320912975332
random10,extraforest_weighted_ensemble,0.4476,0.012939860895697462,0.054138794879084455,0.0032402019443246678
random10,mix_default_simple_ensemble,0.47439999999999999,0.021058015101143784,0.015495218596723571,0.004267463302700422
random10,mix_default_weighted_ensemble,0.48139999999999999,0.016764247671756698,0.0451572075974584,0.0023929009172918275
random10,svm7_simple_ensemble,0.38079999999999997,0.012023310692151319,0.21157106164559034,0.0015808439518218247
random10,svm7_weighted_ensemble,0.37960000000000005,0.012043255373859687,0.88983969955279607,0.035060630322939393
random10,knn7_simple_ensemble,0.54200000000000004,0.01115347479487896,0.00034491738141195717,0.030160625663291814
random10,knn7_weighted_ensemble,0.54720000000000013,0.0083522452071284475,0.00026819395967769204,0.0090931471031478629
