dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
vehicle.scale,extratree0,0.67850330664810299,0.03214345931683521,0.0013413999999999926,0.012600199999999995
vehicle.scale,svm05,0.76948833971458408,0.035196754924592781,0.0247174,0.0082005999999999572
vehicle.scale,extratree2,0.66673163940132274,0.050338753978224883,0.00072500000000004223,0.0072459999999999972
vehicle.scale,svm20,0.7813156978767839,0.031361996727347741,0.073073600000000044,0.0072850000000000302
vehicle.scale,svm01,0.72337626174730241,0.042896228107563251,0.0061237999999999458,0.0069261999999999709
vehicle.scale,svm25,0.78604942568743474,0.030508749651421047,0.076398200000000041,0.0059185999999999961
vehicle.scale,extratree1,0.63709014966933519,0.02361133908840431,0.00058519999999999688,0.0059112000000000279
vehicle.scale,tree0,0.73283675600417675,0.02998896975431023,0.004097400000000073,0.0060092000000000478
vehicle.scale,extratree3,0.64063348416289601,0.032991885375276579,0.00058099999999998713,0.0059651999999999813
vehicle.scale,svm0,0.77539853811347026,0.035392622855223321,0.029898799999999913,0.0059457999999999785
vehicle.scale,svm30,0.78840932822833276,0.029367636094574,0.076777600000000043,0.0059695999999998858
vehicle.scale,svm15,0.77894883397145842,0.033033316579849106,0.047496200000000058,0.0059322000000000766
vehicle.scale,treerandomentropy,0.7033275321963105,0.031879367549642337,0.0016812000000000714,0.0059045999999998598
vehicle.scale,svm10,0.77539853811347026,0.035392622855223321,0.031083800000000127,0.0059576000000000741
vehicle.scale,nb3,0.47397841977027494,0.030432451563316889,0.015629999999999901,0.037700000000000157
vehicle.scale,nb2,0.47166028541594152,0.03838020862471176,0.017529400000000007,0.039559600000000028
vehicle.scale,nb1,0.46215106160807518,0.027413793011947511,0.017313200000000074,0.037806799999999988
vehicle.scale,nb0,0.47042116254785943,0.03252254097939649,0.00068479999999997436,0.03746179999999999
vehicle.scale,nb7,0.45977027497389483,0.02909272713243348,0.016631600000000014,0.037500399999999968
vehicle.scale,nb6,0.47278106508875739,0.034624233936870502,0.015566000000000102,0.037515600000000052
vehicle.scale,nb5,0.45145144448311869,0.049804514409246908,0.015088599999999985,0.037467200000000034
vehicle.scale,nb4,0.47042116254785932,0.026068710197842272,0.018063800000000008,0.037702799999999925
vehicle.scale,knn9,0.68439262095370679,0.036043922953121865,0.00058519999999990797,0.044364600000000108
vehicle.scale,knn8,0.68673860076575011,0.027479319250707072,0.00049219999999987611,0.043569199999999954
vehicle.scale,knn5,0.68790810998955787,0.030122279974515755,0.00048560000000001934,0.041411399999999786
vehicle.scale,knn7,0.70329968673860077,0.027698151961782259,0.00048000000000012475,0.042951000000000225
vehicle.scale,knn1,0.67256526279150708,0.033490301648781501,0.00048099999999990929,0.035100600000000169
vehicle.scale,knn0,0.68790810998955787,0.030122279974515755,0.00049240000000043698,0.041261799999999835
vehicle.scale,knn3,0.68911938739993039,0.022398135684877959,0.00048940000000001764,0.039124800000000091
vehicle.scale,knn2,0.66309084580577793,0.016855468757039752,0.00048479999999972989,0.037489600000000324
vehicle.scale,t8,0.65956143404107215,0.045860158554147337,0.016362200000000014,0.0059703999999999981
vehicle.scale,t9,0.64420466411416633,0.024114270877235063,0.017057400000000021,0.0059330000000000997
vehicle.scale,t6,0.6182039679777237,0.069461057973013135,0.015525200000000261,0.0059763999999997708
vehicle.scale,t7,0.65006613296206051,0.034833888536560768,0.016417999999999999,0.0059747999999999026
vehicle.scale,t4,0.63828054298642534,0.010049915227822543,0.018046999999999969,0.0060219999999999276
vehicle.scale,t5,0.63236338322311181,0.043410950239478927,0.015453600000000022,0.0060777999999997332
vehicle.scale,t2,0.65947789766794296,0.042032130416669353,0.016550199999999828,0.0059290000000000731
vehicle.scale,t3,0.62648103028193525,0.05023045041423975,0.015459800000000001,0.0059452000000000281
vehicle.scale,t0,0.66073790462930737,0.048422232161394421,0.015802799999999985,0.005944599999999944
vehicle.scale,t1,0.60408632091890013,0.040402139903452372,0.017029400000000017,0.005963000000000029
vehicle.scale,treerandomgini,0.71270449008005565,0.037915223292025978,0.0012422000000000821,0.0059354000000000793
vehicle.scale,treebestentropy,0.70447615732683611,0.022946557932074924,0.0074038000000001599,0.0059347999999998183
vehicle.scale,treebestgini,0.73044204664114165,0.047236402826841363,0.003990399999999639,0.0059228000000002721
vehicle.scale,tree7_simple_ensemble,0.74703793943612939,0.030545857902768057,0.015977799999999577,0.044601799999999511
vehicle.scale,tree7_weighted_ensemble,0.75056038983640794,0.035769964350244307,0.016024599999999722,0.070604200000000006
vehicle.scale,nb7_simple_ensemble,0.47279498781761226,0.038280071423555523,0.11506140000000009,0.26952739999999975
vehicle.scale,nb7_weighted_ensemble,0.47397145840584753,0.038278126877442947,0.11474000000000011,0.29447060000000003
vehicle.scale,extraforest_simple_ensemble,0.73754959972154555,0.02821930041850336,0.16288000000000019,0.063274799999999937
vehicle.scale,extraforest_weighted_ensemble,0.74701705534284712,0.037478155183363428,0.16255640000000043,0.099673999999999902
vehicle.scale,mix_default_simple_ensemble,0.7765402018795684,0.056357823744955425,0.037948600000000353,0.10543739999999957
vehicle.scale,mix_default_weighted_ensemble,0.77184128089105464,0.041900532869874642,0.035339200000000306,0.12484939999999937
vehicle.scale,svm7_simple_ensemble,0.7801322659241211,0.035040789701013479,0.29771260000000055,0.04551879999999997
vehicle.scale,svm7_weighted_ensemble,0.7801322659241211,0.035040789701013479,0.30125760000000029,0.071152200000000221
vehicle.scale,knn7_simple_ensemble,0.69858684302123208,0.027686122622031517,0.0033535999999990906,0.28867599999999954
vehicle.scale,knn7_weighted_ensemble,0.69858684302123208,0.027686122622031517,0.0033180000000001542,0.31609060000000044
